Time,ManagementArea,Prescription,Stand,EventID,StandAge,StandRank,NumberOfSites,HarvestedSites,MgBiomassRemoved,MgBioRemovedPerDamagedHa,TotalCohortsPartialHarvest,TotalCohortsCompleteHarvest,CohortsHarvested_confsens,CohortsHarvested_confrslt,CohortsHarvested_brdlsens,CohortsHarvested_brdlrslt,BiomassHarvestedMg_confsens,BiomassHarvestedMg_confrslt,BiomassHarvestedMg_brdlsens,BiomassHarvestedMg_brdlrslt,
10, 1, MM1-1_DO1, 95, 9, 124, 1001, 100, 100, 4680.16, 46.8, 754, 0, 230, 209, 217, 98, 1582.6, 1241.54, 1663.93, 192.09, 
10, 1, MM1-1_DO1, 6, 66, 124, 652, 100, 100, 4508.6, 45.09, 414, 0, 170, 244, 0, 0, 1717.17, 2791.43, 0, 0, 
10, 1, MM1-1_DO1, 16, 97, 113, 543, 100, 100, 4472.96, 44.73, 356, 0, 145, 211, 0, 0, 1955.89, 2517.07, 0, 0, 
10, 1, MM1-1_DO1, 26, 100, 106, 493, 100, 100, 4410.38, 44.1, 336, 0, 141, 195, 0, 0, 2075, 2335.38, 0, 0, 
10, 1, MM2-1_DO1, 36, 41, 133, 22121, 100, 92, 1159.96, 12.61, 271, 0, 37, 29, 85, 120, 158.99, 173.15, 400.36, 427.46, 
10, 1, MM2-1_DO1, 46, 39, 133, 22121, 100, 100, 1130.49, 11.3, 295, 0, 0, 0, 120, 175, 0, 0, 546.18, 584.31, 
10, 1, MM2-1_DO1, 56, 74, 131, 8848, 100, 100, 1199.71, 12, 304, 0, 0, 0, 117, 187, 0, 0, 532.06, 667.65, 
10, 1, MM1-1_DO1, 66, 63, 128, 663, 100, 100, 4727.33, 47.27, 474, 0, 74, 82, 202, 116, 465.31, 544.02, 2940.38, 777.62, 
10, 1, MM1-1_DO1, 76, 32, 125, 980, 100, 100, 4719.04, 47.19, 734, 0, 214, 210, 216, 94, 1383.08, 1349.86, 1811.96, 174.14, 
10, 1, MM2-1_DO1, 86, 11, 123, 22786, 100, 100, 1563.35, 15.63, 612, 0, 99, 116, 170, 227, 200.86, 353.59, 443.73, 565.17, 
10, 1, MM1-1_DO1, 96, 46, 122, 950, 100, 100, 4752, 47.52, 710, 0, 203, 191, 221, 95, 1228.09, 1160.37, 2187.53, 176.01, 
10, 1, MM1-1_DO1, 7, 72, 124, 637, 100, 100, 4480, 44.8, 404, 0, 169, 235, 0, 0, 1785.81, 2694.19, 0, 0, 
10, 1, MM2-1_DO1, 17, 47, 122, 16275, 100, 79, 1124.45, 14.23, 231, 0, 137, 94, 0, 0, 579.5, 544.95, 0, 0, 
10, 1, MM1-1_DO1, 27, 78, 119, 597, 100, 100, 4485.04, 44.85, 390, 0, 161, 229, 0, 0, 2032.52, 2452.52, 0, 0, 
10, 1, MM2-1_DO1, 37, 73, 125, 9765, 100, 95, 1223.25, 12.88, 284, 0, 41, 29, 91, 123, 176.16, 165.6, 439.38, 442.11, 
10, 1, MM2-1_DO1, 47, 40, 133, 22121, 100, 100, 1159.45, 11.59, 309, 0, 0, 0, 134, 175, 0, 0, 584.5, 574.95, 
10, 1, MM2-1_DO1, 57, 60, 136, 13272, 100, 100, 1207.51, 12.08, 298, 0, 0, 0, 123, 175, 0, 0, 581.42, 626.09, 
10, 1, MM2-1_DO1, 67, 10, 130, 26545, 100, 100, 1312.88, 13.13, 409, 0, 39, 50, 137, 183, 77.75, 146.09, 548.19, 540.85, 
10, 1, MM1-1_DO1, 77, 14, 125, 994, 100, 100, 4691.38, 46.91, 748, 0, 225, 210, 217, 96, 1531.17, 1279.56, 1695.53, 185.12, 
10, 1, MM1-1_DO1, 87, 44, 122, 967, 100, 100, 4721.76, 47.22, 724, 0, 217, 191, 219, 97, 1384.61, 1095.95, 2055.47, 185.73, 
10, 1, MM1-1_DO1, 97, 22, 123, 985, 100, 100, 4680.74, 46.81, 742, 0, 233, 208, 213, 88, 1652.71, 1227.8, 1632.01, 168.22, 
10, 1, MM2-1_DO1, 8, 96, 110, 599, 100, 86, 1276.38, 14.84, 258, 0, 147, 111, 0, 0, 622.33, 654.05, 0, 0, 
10, 1, MM1-1_DO1, 18, 98, 112, 529, 100, 100, 4431.54, 44.32, 350, 0, 147, 203, 0, 0, 2049.93, 2381.61, 0, 0, 
10, 1, MM1-1_DO1, 28, 81, 119, 590, 100, 100, 4403.42, 44.03, 372, 0, 162, 210, 0, 0, 1688.57, 2714.85, 0, 0, 
10, 1, MM2-1_DO1, 38, 25, 123, 22786, 100, 94, 1185.82, 12.62, 281, 0, 41, 31, 79, 130, 172.05, 181.07, 377.46, 455.24, 
10, 1, MM2-1_DO1, 48, 91, 137, 4424, 100, 100, 1163.82, 11.64, 306, 0, 0, 0, 124, 182, 0, 0, 529.36, 634.46, 
10, 1, MM2-1_DO1, 58, 68, 136, 13272, 100, 100, 1179.69, 11.8, 304, 0, 0, 0, 121, 183, 0, 0, 530.76, 648.93, 
10, 1, MM2-1_DO1, 68, 2, 130, 26545, 100, 100, 1305.81, 13.06, 412, 0, 43, 43, 132, 194, 86.6, 126.15, 501.19, 591.87, 
10, 1, MM1-1_DO1, 78, 31, 126, 981, 100, 100, 4740.88, 47.41, 735, 0, 200, 210, 223, 102, 1206.31, 1390.78, 1952.97, 190.82, 
10, 1, MM2-1_DO1, 88, 17, 123, 22786, 100, 100, 1441.71, 14.42, 578, 0, 109, 120, 136, 213, 218.36, 346.17, 366.99, 510.19, 
10, 1, MM2-1_DO1, 98, 15, 123, 22786, 100, 100, 1510.82, 15.11, 600, 0, 99, 124, 159, 218, 197.47, 362.44, 420.79, 530.12, 
10, 1, MM2-1_DO1, 9, 12, 123, 22786, 100, 80, 1147.64, 14.35, 238, 0, 139, 99, 0, 0, 577.769999999999, 569.87, 0, 0, 
10, 1, MM1-1_DO1, 19, 82, 116, 580, 100, 100, 4455.21, 44.55, 377, 0, 157, 220, 0, 0, 1817.36, 2637.85, 0, 0, 
10, 1, MM1-1_DO1, 29, 64, 127, 655, 100, 100, 4478.9, 44.79, 406, 0, 171, 235, 0, 0, 1645.73, 2833.17, 0, 0, 
10, 1, MM2-1_DO1, 39, 26, 123, 22786, 100, 96, 1108.28, 11.54, 271, 0, 42, 31, 73, 125, 168.88, 165.21, 354.92, 419.27, 
10, 1, MM2-1_DO1, 49, 65, 132, 13272, 100, 100, 1096.85, 10.97, 295, 0, 0, 0, 108, 187, 0, 0, 462.1, 634.75, 
10, 1, MM2-1_DO1, 59, 93, 135, 4424, 100, 100, 1204.39, 12.04, 303, 0, 0, 0, 122, 181, 0, 0, 557.64, 646.75, 
10, 1, MM2-1_DO1, 69, 56, 126, 14648, 100, 100, 1294.37, 12.94, 412, 0, 46, 43, 125, 198, 92.77, 124.73, 476.54, 600.33, 
10, 1, MM1-1_DO1, 79, 8, 126, 1004, 100, 100, 4712.9, 47.13, 750, 0, 216, 204, 219, 111, 1299.78, 1273.01, 1924.99, 215.12, 
10, 1, MM1-1_DO1, 89, 43, 126, 973, 100, 100, 4738.14, 47.38, 727, 0, 205, 215, 215, 92, 1275.92, 1465.36, 1832.85, 164.01, 
10, 1, MM1-1_DO1, 99, 4, 124, 1009, 100, 100, 4662.38, 46.62, 760, 0, 240, 203, 216, 101, 1671.36, 1126.11, 1661.84, 203.07, 
10, 1, MM2-1_DO1, 10, 27, 123, 22786, 100, 79, 949.17, 12.01, 215, 0, 127, 88, 0, 0, 502.44, 446.73, 0, 0, 
10, 1, MM1-1_DO1, 20, 85, 114, 577, 100, 100, 4476.22, 44.76, 382, 0, 156, 226, 0, 0, 1861.42, 2614.8, 0, 0, 
10, 1, MM1-1_DO1, 30, 88, 117, 573, 100, 100, 4433.77, 44.34, 371, 0, 158, 213, 0, 0, 1984.22, 2449.55, 0, 0, 
10, 1, MM2-1_DO1, 40, 42, 133, 22121, 100, 91, 1195.31, 13.14, 283, 0, 37, 26, 98, 122, 162.58, 159.69, 445.78, 427.26, 
10, 1, MM2-1_DO1, 50, 71, 140, 12026, 100, 100, 1157.22, 11.57, 294, 0, 0, 0, 110, 184, 0, 0, 484.54, 672.680000000001, 
10, 1, MM2-1_DO1, 60, 69, 132, 13272, 100, 100, 1227.58, 12.28, 302, 0, 0, 0, 128, 174, 0, 0, 616.92, 610.66, 
10, 1, MM1-1_DO1, 70, 58, 131, 700, 100, 100, 4677.41, 46.77, 502, 0, 95, 81, 199, 127, 674.83, 440.8, 2638.72, 923.06, 
10, 1, MM1-1_DO1, 80, 37, 124, 974, 100, 100, 4740.7, 47.41, 729, 0, 203, 201, 223, 102, 1223.92, 1270.06, 2054.01, 192.71, 
10, 1, MM1-1_DO1, 90, 19, 125, 987, 100, 100, 4727.88, 47.28, 739, 0, 208, 206, 221, 104, 1269.23, 1316.44, 1944.63, 197.58, 
10, 1, MM1-1_DO1, 100, 20, 124, 987, 100, 100, 4715.2, 47.15, 738, 0, 217, 203, 217, 101, 1364.27, 1255.35, 1903.49, 192.09, 
